model algo nvar f(x) f(x0) ‖g(x)‖ ‖g(x0)‖ #f #g #Hv #it optimal
EG2 CRlin 1000 -9.989e+02 -8.406e+02 6.0e-09 5.4e+02 4 4 3 3 true
ENGVAL1 CRlin 5000 5.549e+03 2.949e+05 1.5e-03 8.8e+03 17 8 15 7 true
ERRINROS CRlin 50 4.060e+01 1.102e+05 1.2e-01 1.2e+05 24 21 121 20 true
ERRINRSM CRlin 50 3.873e+01 1.529e+05 1.1e-01 1.3e+05 25 20 105 19 true
EXTROSNB CRlin 1000 6.348e-09 3.996e+05 2.8e-03 3.8e+04 17 8 22 7 true
FLETBV3M CRlin 5000 -2.210e+05 1.982e+02 3.0e-06 4.4e+01 433 433 432 432 true
FLETCBV2 CRlin 5000 -5.003e-01 -5.003e-01 1.7e-08 4.4e-06 2 2 4842 1 true
FLETCBV3 CRlin 5000 -1.086e+07 1.982e+02 2.6e+01 4.4e+01 10001 10001 10000 10000 false
FLETCHBV CRlin 5000 -6.065e+22 -2.302e+11 1.9e+10 2.8e+09 19998 10001 10000 10000 false
FLETCHCR CRlin 1000 7.199e-11 9.990e+02 2.2e-05 6.3e+01 2726 1634 18546 1633 true
FMINSRF2 CRlin 5625 1.000e+00 2.846e+01 5.6e-08 3.3e-01 1242 1112 2949 1111 true
FMINSURF CRlin 5625 1.000e+00 2.859e+01 8.7e-09 3.3e-01 1254 1128 2912 1127 true
FREUROTH CRlin 5000 6.082e+05 5.049e+06 4.2e-03 5.5e+04 29 11 24 10 true
GENHUMPS CRlin 5000 1.038e-08 1.281e+08 6.4e-05 6.0e+03 4192 3875 8981 3874 true
GENROSE CRlin 500 1.000e+00 1.870e+03 3.6e-05 3.0e+02 858 461 3494 460 true
HILBERTB CRlin 10 2.216e-14 5.102e+02 6.8e-07 1.1e+02 6 6 6 5 true
INDEFM CRlin 100000 -1.005e+07 9.207e+04 1.2e+00 3.6e+02 236858 10001 19358 10000 false
INDEF CRlin 5000 -2.494e+07 4.603e+03 7.1e+01 8.0e+01 10005 10001 14962 10000 false
JIMACK CRlin 3549 8.668e-01 1.289e+00 1.6e-06 1.4e+00 21 17 17295 16 true
LIARWHD CRlin 5000 1.509e-08 2.925e+06 2.5e-04 4.8e+05 45 17 21 16 true
MANCINO CRlin 100 4.878e-01 1.103e+12 2.0e+03 2.9e+09 1435 69 68 68 true
MODBEALE CRlin 20000 9.647e+00 1.264e+07 2.1e-01 3.1e+05 155 31 88 30 true
MOREBV CRlin 5000 3.637e-11 1.597e-07 9.5e-08 8.0e-04 3 3 449 2 true
NCB20B CRlin 5000 7.351e+03 1.000e+04 2.4e-04 2.8e+02 16 12 200 11 true
NCB20 CRlin 5010 7.105e+02 1.000e+04 3.3e-05 2.8e+02 323 246 556 245 true
NONCVXU2 CRlin 5000 1.345e+04 3.235e+11 3.3e+00 3.3e+06 5061 2376 4079 2375 true
NONCVXUN CRlin 5000 1.340e+04 3.335e+11 3.6e+00 3.6e+06 4682 2194 3900 2193 true
NONDIA CRlin 5000 2.570e-04 2.000e+06 1.3e-02 2.0e+06 3 3 2 2 true
NONDQUAR CRlin 5000 2.732e-03 5.006e+03 1.6e-02 2.0e+04 19 16 67 15 true
OSBORNEB CRlin 11 4.014e-02 3.166e+00 1.1e-08 6.5e+00 126 122 379 121 true
OSCIGRAD CRlin 100000 1.062e-03 6.121e+08 2.7e+02 2.2e+09 10 10 33 9 true
OSCIPATH CRlin 10 1.000e+00 1.000e+00 3.7e-06 1.0e+00 10006 10001 44299 10000 false
PARKCH CRlin 15 -Inf 2.150e+03 NaN 2.5e+04 13 12 35 11 false
PENALTY1 CRlin 1000 3.564e+05 1.114e+17 5.8e+04 2.4e+13 99 5 4 4 true
PENALTY2 CRlin 200 4.712e+13 4.712e+13 2.3e+00 1.6e+07 14 14 117 13 true
PENALTY3 CRlin 200 1.186e-03 1.584e+09 2.0e+00 2.2e+06 278 41 77 40 true
POWELLSG CRlin 5000 9.912e-04 2.688e+05 7.4e-03 1.6e+04 49 20 50 19 true
POWER CRlin 10000 1.251e+08 2.501e+15 9.0e+07 1.2e+14 90 12 33 11 true
QUARTC CRlin 5000 5.693e+09 6.241e+17 1.2e+07 1.3e+13 252 13 12 12 true
SCHMVETT CRlin 5000 -1.499e+04 -1.429e+04 1.8e-05 7.5e+01 9 7 45 6 true
SCURLY10 CRlin 10000 Inf 7.006e+31 Inf 1.3e+30 10157 10001 10000 10000 false
SCURLY20 CRlin 10000 Inf 9.031e+32 Inf 1.6e+31 10157 10001 10000 10000 false
SCURLY30 CRlin 10000 Inf 4.163e+33 Inf 7.5e+31 10157 10001 10000 10000 false
SENSORS CRlin 100 -2.109e+03 -5.648e+01 6.2e-09 7.1e+01 33 18 31 17 true
SINQUAD CRlin 5000 -6.749e+06 6.561e-01 2.2e-04 5.1e+03 94 23 40 22 true
SPARSINE CRlin 5000 8.345e+00 5.173e+07 2.5e+00 3.0e+06 666 528 2673 527 true
SPARSQUR CRlin 10000 5.730e-02 1.406e+07 5.5e-01 1.2e+06 27 12 39 11 true
SPMSRTLS CRlin 4999 6.649e-10 4.141e+03 9.4e-06 7.7e+01 18 17 228 16 true
SROSENBR CRlin 5000 1.831e-08 4.850e+04 1.2e-04 1.1e+04 8 8 9 7 true
SSBRYBND CRlin 5000 1.191e-03 1.249e+05 3.9e-01 9.0e+05 18 17 7952 16 true
STRATEC CRlin 10 2.212e+03 2.818e+03 7.0e-03 4.7e+04 49 44 205 43 true
TESTQUAD CRlin 5000 9.093e+02 1.250e+09 9.8e+01 4.4e+07 10271 10001 20214 10000 false
TOINTGOR CRlin 50 1.374e+03 5.074e+03 4.1e-04 6.0e+02 18 18 107 17 true
TOINTGSS CRlin 5000 1.000e+01 4.499e+04 1.4e-40 4.2e+02 3 2 1 1 true
TOINTPSP CRlin 50 2.256e+02 1.828e+03 4.4e-06 1.1e+02 49 18 85 17 true
TOINTQOR CRlin 50 1.175e+03 2.335e+03 8.7e-06 2.1e+02 8 8 43 7 true
TQUARTIC CRlin 5000 4.166e-24 8.100e-01 5.8e-10 1.8e+00 7744 7744 11614 7743 true
TRIDIA CRlin 5000 3.341e-04 1.250e+07 9.3e-02 4.1e+05 55 14 582 13 true
VARDIM CRlin 200 1.149e+08 3.257e+16 7.3e+09 1.6e+16 13 13 12 12 true
VAREIGVL CRlin 50 8.352e-14 1.126e+02 1.1e-06 4.2e+01 7 7 28 6 true
WATSON CRlin 12 1.602e-07 3.000e+01 4.8e-06 2.1e+02 14 14 56 13 true
WOODS CRlin 4000 2.369e-04 1.919e+07 1.8e-02 5.2e+05 61 27 60 26 true
brownden CRlin 4 8.582e+04 7.927e+06 2.3e-01 2.1e+06 14 14 32 13 true
cliff CRlin 2 4.032e+02 4.852e+08 1.1e+04 1.4e+10 15 15 14 14 true
clplatea CRlin 5041 -1.259e-02 0.000e+00 1.6e-09 1.0e-01 9 8 908 7 true
clplateb CRlin 5041 -5.095e-03 0.000e+00 8.0e-07 1.2e-02 4 4 345 3 true
clplatec CRlin 5041 -5.021e-03 0.000e+00 7.2e-07 9.9e-02 5 5 9597 4 true
nasty CRlin 2 4.136e-25 5.000e-01 1.3e-06 1.0e+00 2 2 2 1 true
palmer1c CRlin 8 6.720e+03 3.453e+08 3.6e+02 5.2e+08 18 9 17 8 true
palmer1d CRlin 7 9.805e+02 2.873e+07 3.3e+01 4.4e+07 34 18 40 17 true
palmer2c CRlin 8 1.380e+02 2.689e+07 1.6e+01 3.9e+07 8 7 15 6 true
palmer3c CRlin 8 5.385e+01 8.122e+06 3.4e+00 1.1e+07 8 7 15 6 true
palmer4c CRlin 8 5.807e+01 8.094e+06 3.4e+00 1.1e+07 6 6 18 5 true
palmer5c CRlin 6 2.128e+00 2.549e+04 8.6e-05 1.1e+03 26 10 16 9 true
palmer5d CRlin 4 8.734e+01 2.226e+04 4.6e-12 2.0e+03 80 65 139 64 true
palmer6c CRlin 8 1.716e+01 7.722e+05 7.5e-01 1.1e+06 8 8 26 7 true
palmer7c CRlin 8 5.645e+01 3.205e+06 3.7e+00 4.7e+06 4 4 9 3 true
palmer8c CRlin 8 2.242e+01 8.503e+05 1.1e+00 1.2e+06 5 5 13 4 true
beale CRlin 2 4.583e-01 1.420e+01 2.6e-05 2.8e+01 270 146 229 145 true
brownbs CRlin 2 1.573e-17 1.000e+12 2.0e-03 2.0e+06 15 7 6 6 true
chnrosnb_mod CRlin 100 1.076e-05 1.764e+04 5.0e-03 6.4e+03 199 120 1186 119 true
errinros_mod CRlin 100 7.862e+01 3.140e+05 1.9e-01 1.9e+05 22 18 93 17 true
fletcbv3_mod CRlin 100 -8.684e-02 -1.879e-02 2.8e-03 1.6e-03 10001 10001 10001 10000 false
genrose_nash CRlin 100 1.000e+00 4.041e+02 2.6e-06 1.3e+02 191 104 752 103 true
meyer3 CRlin 3 1.123e+05 1.694e+09 4.8e+03 8.7e+10 27 9 11 8 true
scosine CRlin 100 -4.591e+01 8.688e+01 9.1e+04 8.1e+02 10225 10001 25761 10000 false
