model algo nvar f(x) f(x0) ‖g(x)‖ ‖g(x0)‖ #f #g #Hv #it optimal
DIXMAANH CGlin 3000 1.001e+00 1.517e+05 6.9e-03 7.4e+03 12 6 20 5 true
DIXMAANI CGlin 3000 1.000e+00 2.002e+04 3.5e-05 1.0e+03 12 9 1183 8 true
DIXMAANJ CGlin 3000 1.189e+00 3.900e+04 2.9e-04 1.8e+03 59 46 252 45 true
DIXMAANK CGlin 3000 1.000e+00 7.400e+04 1.3e-03 3.6e+03 25 11 64 10 true
DIXMAANL CGlin 3000 2.588e+00 1.496e+05 4.4e-04 7.4e+03 90 55 208 54 true
DIXMAANM CGlin 3000 1.000e+00 9.358e+03 1.7e-04 4.4e+02 66 63 962 62 true
DIXMAANN CGlin 3000 1.000e+00 2.018e+04 4.0e-04 1.0e+03 17 13 223 12 true
DIXMAANO CGlin 3000 1.000e+00 3.635e+04 3.6e-04 2.0e+03 18 13 203 12 true
DIXMAANP CGlin 3000 1.001e+00 7.128e+04 2.4e-03 4.0e+03 18 12 94 11 true
DIXON3DQ CGlin 10000 4.496e-14 8.000e+00 4.2e-07 5.7e+00 6 6 19998 5 true
DQDRTIC CGlin 5000 4.874e-07 9.041e+06 1.7e-02 8.5e+04 57 9 10 8 true
DQRTIC CGlin 5000 5.693e+09 6.241e+17 1.2e+07 1.3e+13 252 13 12 12 true
EDENSCH CGlin 2000 1.200e+04 7.358e+06 3.8e-02 1.0e+05 35 14 30 13 true
EG2 CGlin 1000 -9.989e+02 -8.406e+02 6.0e-09 5.4e+02 4 4 3 3 true
ENGVAL1 CGlin 5000 5.549e+03 2.949e+05 1.4e-03 8.8e+03 17 8 15 7 true
ERRINROS CGlin 50 4.021e+01 1.102e+05 7.7e-02 1.2e+05 57 35 240 34 true
ERRINRSM CGlin 50 3.855e+01 1.529e+05 5.6e-02 1.3e+05 34 24 141 23 true
EXTROSNB CGlin 1000 8.510e-09 3.996e+05 3.7e-03 3.8e+04 17 8 22 7 true
FLETBV3M CGlin 5000 -2.210e+05 1.982e+02 3.0e-06 4.4e+01 433 433 432 432 true
FLETCBV2 CGlin 5000 -5.003e-01 -5.003e-01 1.7e-08 4.4e-06 2 2 4942 1 true
FLETCBV3 CGlin 5000 -1.086e+07 1.982e+02 2.6e+01 4.4e+01 10001 10001 10000 10000 false
FLETCHBV CGlin 5000 -6.065e+22 -2.302e+11 1.9e+10 2.8e+09 19998 10001 10000 10000 false
FLETCHCR CGlin 1000 4.846e-13 9.990e+02 2.8e-06 6.3e+01 1750 1488 16813 1487 true
FMINSRF2 CGlin 5625 1.000e+00 2.846e+01 1.9e-07 3.3e-01 364 105 1893 104 true
FMINSURF CGlin 5625 1.000e+00 2.859e+01 1.3e-08 3.3e-01 422 115 2238 114 true
FREUROTH CGlin 5000 6.082e+05 5.049e+06 3.6e-02 5.5e+04 24 14 31 13 true
GENHUMPS CGlin 5000 5.718e+00 1.281e+08 8.8e+00 6.0e+03 11570 10001 24940 10000 false
GENROSE CGlin 500 1.000e+00 1.870e+03 1.6e-05 3.0e+02 626 283 3313 282 true
HILBERTB CGlin 10 3.437e-14 5.102e+02 8.4e-07 1.1e+02 6 6 6 5 true
INDEFM CGlin 100000 -2.247e+05 9.207e+04 4.6e+02 3.6e+02 10001 10001 19997 10000 false
INDEF CGlin 5000 -3.566e+04 4.603e+03 1.0e+02 8.0e+01 10001 10001 19997 10000 false
JIMACK CGlin 3549 8.674e-01 1.289e+00 2.0e-07 1.4e+00 77 31 24872 30 true
LIARWHD CGlin 5000 2.350e-03 2.925e+06 9.7e-02 4.8e+05 3073 3054 6100 3053 true
MANCINO CGlin 100 5.119e-01 1.103e+12 2.0e+03 2.9e+09 1435 69 68 68 true
MODBEALE CGlin 20000 2.346e-03 1.264e+07 7.4e-02 3.1e+05 1211 1087 2161 1086 true
MOREBV CGlin 5000 1.053e-11 1.597e-07 1.0e-07 8.0e-04 3 3 2690 2 true
NCB20B CGlin 5000 7.351e+03 1.000e+04 2.0e-04 2.8e+02 33 17 589 16 true
NCB20 CGlin 5010 7.105e+02 1.000e+04 2.0e-04 2.8e+02 160 98 304 97 true
NONCVXU2 CGlin 5000 1.259e+04 3.235e+11 3.3e+00 3.3e+06 11452 9041 17768 9040 true
NONCVXUN CGlin 5000 1.396e+04 3.335e+11 6.9e+00 3.6e+06 12092 10001 19462 10000 false
NONDIA CGlin 5000 2.570e-04 2.000e+06 1.3e-02 2.0e+06 3 3 2 2 true
NONDQUAR CGlin 5000 9.884e-04 5.006e+03 5.2e-03 2.0e+04 26 20 107 19 true
OSBORNEB CGlin 11 4.014e-02 3.166e+00 1.8e-07 6.5e+00 35 24 163 23 true
OSCIGRAD CGlin 100000 1.146e-03 6.121e+08 3.9e+02 2.2e+09 10 10 32 9 true
OSCIPATH CGlin 10 9.999e-01 1.000e+00 8.7e-04 1.0e+00 13253 10001 90686 10000 false
PARKCH CGlin 15 1.624e+03 2.150e+03 2.3e-02 2.5e+04 22 21 134 20 true
PENALTY1 CGlin 1000 3.564e+05 1.114e+17 5.8e+04 2.4e+13 99 5 4 4 true
PENALTY2 CGlin 200 4.712e+13 4.712e+13 6.6e+00 1.6e+07 13 12 114 11 true
PENALTY3 CGlin 200 1.060e-03 1.584e+09 1.6e+00 2.2e+06 225 56 108 55 true
POWELLSG CGlin 5000 8.673e-04 2.688e+05 6.8e-03 1.6e+04 120 98 201 97 true
POWER CGlin 10000 5.247e+07 2.501e+15 6.7e+07 1.2e+14 90 12 39 11 true
QUARTC CGlin 5000 5.693e+09 6.241e+17 1.2e+07 1.3e+13 252 13 12 12 true
SCHMVETT CGlin 5000 -1.499e+04 -1.429e+04 7.6e-06 7.5e+01 9 7 48 6 true
SCURLY10 CGlin 10000 Inf 7.006e+31 Inf 1.3e+30 10157 10001 3 10000 false
SCURLY20 CGlin 10000 Inf 9.031e+32 Inf 1.6e+31 10157 10001 3 10000 false
SCURLY30 CGlin 10000 Inf 4.163e+33 Inf 7.5e+31 10157 10001 3 10000 false
SENSORS CGlin 100 -2.109e+03 -5.648e+01 6.3e-11 7.1e+01 29 17 29 16 true
SINQUAD CGlin 5000 -6.748e+06 6.561e-01 2.5e+01 5.1e+03 10056 10001 20185 10000 false
SPARSINE CGlin 5000 1.343e-01 5.173e+07 2.4e+00 3.0e+06 1472 1333 30995 1332 true
SPARSQUR CGlin 10000 4.649e-02 1.406e+07 5.1e-01 1.2e+06 27 12 40 11 true
SPMSRTLS CGlin 4999 7.539e-10 4.141e+03 4.0e-05 7.7e+01 21 18 249 17 true
SROSENBR CGlin 5000 1.916e-08 4.850e+04 1.2e-04 1.1e+04 8 8 9 7 true
SSBRYBND CGlin 5000 1.663e-05 1.249e+05 3.3e-01 9.0e+05 642 150 18343 149 true
STRATEC CGlin 10 2.212e+03 2.818e+03 1.1e-02 4.7e+04 38 35 181 34 true
TESTQUAD CGlin 5000 2.945e-01 1.250e+09 4.2e+00 4.4e+07 322 56 3409 55 true
TOINTGOR CGlin 50 1.374e+03 5.074e+03 4.8e-05 6.0e+02 13 13 123 12 true
TOINTGSS CGlin 5000 1.000e+01 4.499e+04 1.4e-40 4.2e+02 3 2 1 1 true
TOINTPSP CGlin 50 2.256e+02 1.828e+03 6.3e-05 1.1e+02 67 18 84 17 true
TOINTQOR CGlin 50 1.175e+03 2.335e+03 1.2e-04 2.1e+02 7 7 39 6 true
TQUARTIC CGlin 5000 7.348e-01 8.100e-01 5.1e-02 1.8e+00 10001 10001 19966 10000 false
TRIDIA CGlin 5000 1.188e-05 1.250e+07 1.2e-01 4.1e+05 53 12 645 11 true
VARDIM CGlin 200 1.149e+08 3.257e+16 7.3e+09 1.6e+16 13 13 12 12 true
VAREIGVL CGlin 50 3.495e-13 1.126e+02 2.4e-06 4.2e+01 7 7 28 6 true
WATSON CGlin 12 1.597e-07 3.000e+01 1.2e-05 2.1e+02 13 13 50 12 true
WOODS CGlin 4000 1.291e-01 1.919e+07 4.4e-01 5.2e+05 49 18 47 17 true
brownden CGlin 4 8.582e+04 7.927e+06 7.7e-01 2.1e+06 35 35 73 34 true
cliff CGlin 2 4.032e+02 4.852e+08 1.1e+04 1.4e+10 15 15 14 14 true
clplatea CGlin 5041 -1.259e-02 0.000e+00 3.0e-07 1.0e-01 8 7 773 6 true
clplateb CGlin 5041 -5.095e-03 0.000e+00 2.2e-07 1.2e-02 4 4 456 3 true
clplatec CGlin 5041 -5.021e-03 0.000e+00 2.7e-08 9.9e-02 5 5 9370 4 true
nasty CGlin 2 2.674e-32 5.000e-01 6.5e-07 1.0e+00 2 2 2 1 true
palmer1c CGlin 8 1.009e+04 3.453e+08 4.9e+02 5.2e+08 33 33 123 32 true
palmer1d CGlin 7 1.577e+04 2.873e+07 5.3e+02 4.4e+07 10001 10001 15000 10000 false
palmer2c CGlin 8 1.981e+02 2.689e+07 2.6e+01 3.9e+07 9 9 24 8 true
palmer3c CGlin 8 5.072e+01 8.122e+06 3.4e+00 1.1e+07 6 6 17 5 true
palmer4c CGlin 8 5.862e+01 8.094e+06 3.6e+00 1.1e+07 6 6 17 5 true
palmer5c CGlin 6 2.128e+00 2.549e+04 1.7e-04 1.1e+03 25 9 13 8 true
palmer5d CGlin 4 8.734e+01 2.226e+04 9.0e-11 2.0e+03 105 105 269 104 true
palmer6c CGlin 8 1.618e+01 7.722e+05 7.8e-01 1.1e+06 12 12 48 11 true
palmer7c CGlin 8 5.638e+01 3.205e+06 3.9e+00 4.7e+06 4 4 9 3 true
palmer8c CGlin 8 2.221e+01 8.503e+05 1.2e+00 1.2e+06 5 5 15 4 true
beale CGlin 2 4.583e-01 1.420e+01 2.6e-05 2.8e+01 269 144 226 143 true
brownbs CGlin 2 4.930e-30 1.000e+12 4.4e-09 2.0e+06 8 5 4 4 true
chnrosnb_mod CGlin 100 1.980e-08 1.764e+04 6.3e-04 6.4e+03 179 100 1161 99 true
errinros_mod CGlin 100 7.837e+01 3.140e+05 5.8e-02 1.9e+05 37 26 143 25 true
fletcbv3_mod CGlin 100 -8.701e-02 -1.879e-02 2.8e-03 1.6e-03 10001 10001 10001 10000 false
genrose_nash CGlin 100 1.000e+00 4.041e+02 8.9e-06 1.3e+02 135 66 710 65 true
meyer3 CGlin 3 6.953e+06 1.694e+09 3.1e+06 8.7e+10 10001 10001 19999 10000 false
scosine CGlin 100 -8.359e+01 8.688e+01 2.7e+03 8.1e+02 10186 10001 1232544 10000 false
