model algo nvar f(x) f(x0) ‖g(x)‖ ‖g(x0)‖ #f #g #hv #it optimal
indef crlin 5000 -2.499e+07 4.603e+03 7.1e+01 8.0e+01 10001 10001 20062 10000 false
liarwhd crlin 5000 1.671e-04 2.925e+06 2.6e-02 4.8e+05   13   13   36   12  true
mancino crlin  100 1.059e-01 1.103e+12 9.1e+02 2.9e+09    6    6   12    5  true
modbeale crlin 20000 1.695e-02 1.264e+07 2.4e-01 3.1e+05   14   13  150   12  true
morebv crlin 5000 3.637e-11 1.597e-07 9.5e-08 8.0e-04    3    3  898    2  true
ncb20b crlin 5000 7.351e+03 1.000e+04 7.2e-05 2.8e+02   14   10  203    9  true
ncb20 crlin 5010 -1.463e+03 1.000e+04 2.6e-04 2.8e+02  238  218 1561  217  true
noncvxu2 crlin 5000 1.182e+04 3.235e+11 2.6e+00 3.3e+06 3291 3287 13292 3286  true
noncvxun crlin 5000 1.217e+04 3.335e+11 2.7e+00 3.6e+06 2343 2337 9987 2336  true
nondia crlin 5000 2.570e-04 2.000e+06 1.3e-02 2.0e+06    3    3    4    2  true
nondquar crlin 5000 4.830e-03 5.006e+03 1.9e-02 2.0e+04   17   15  112   14  true
osborneb crlin   11 4.014e-02 3.166e+00 7.2e-06 6.5e+00  118  113  689  112  true
oscigrad crlin 100000 1.062e-03 6.121e+08 2.7e+02 2.2e+09   10   10   66    9  true
oscipath crlin   10 1.000e+00 1.000e+00 3.7e-06 1.0e+00 10001 10001 75635 10000 false
parkch crlin   15      nan 2.150e+03     nan 2.5e+04   24   14   97   13 false
penalty1 crlin 1000 3.933e+08 1.114e+17 1.1e+07 2.4e+13   13   13   24   12  true
penalty2 crlin  200 4.712e+13 4.712e+13 3.6e+00 1.6e+07   12   12  232   11  true
penalty3 crlin  200 1.016e-03 1.584e+09 7.9e-01 2.2e+06   49   20  115   19  true
powellsg crlin 5000 5.539e-04 2.688e+05 4.8e-03 1.6e+04   14   14   90   13  true
power crlin 10000 9.819e+07 2.501e+15 8.7e+07 1.2e+14   13   13   76   12  true
quartc crlin 5000 4.137e+09 6.241e+17 8.1e+06 1.3e+13   13   13   52   12  true
schmvett crlin 5000 -1.499e+04 -1.429e+04 3.2e-05 7.5e+01    7    7   80    6  true
scurly10 crlin 10000 3.636e+24 7.006e+31 8.3e+23 1.3e+30   13   13  116   12  true
scurly20 crlin 10000 4.752e+25 9.031e+32 1.1e+25 1.6e+31   13   13  108   12  true
scurly30 crlin 10000 1.914e+26 4.163e+33 4.7e+25 7.5e+31   13   13  104   12  true
sensors crlin  100 -2.109e+03 -5.648e+01 6.2e-09 7.1e+01   33   18   49   17  true
sinquad crlin 5000 -6.749e+06 6.561e-01 4.6e-03 5.1e+03   53   18   62   17  true
sparsine crlin 5000 1.022e-01 5.173e+07 2.3e+00 3.0e+06    9    9  429    8  true
sparsqur crlin 10000 9.566e-02 1.406e+07 7.3e-01 1.2e+06   13   13   70   12  true
spmsrtls crlin 4999 1.341e-11 4.141e+03 1.0e-06 7.7e+01   16   15  554   14  true
srosenbr crlin 5000 1.831e-08 4.850e+04 1.2e-04 1.1e+04    8    8   18    7  true
ssbrybnd crlin 5000 6.737e-04 1.249e+05 3.0e-01 9.0e+05   18   17 16568   16  true
stratec crlin   50 0.000e+00 0.000e+00 0.0e+00 0.0e+00    1    1    0    0  true
testquad crlin 5000 4.741e+01 1.250e+09 1.5e+01 4.4e+07    7    7  748    6  true
tointgor crlin   50 1.374e+03 5.074e+03 1.9e-05 6.0e+02    9    9  234    8  true
tointgss crlin 5000 1.000e+01 4.499e+04 2.1e-04 4.2e+02    4    4    6    3  true
tointpsp crlin   50 2.256e+02 1.828e+03 5.6e-05 1.1e+02   53   20  226   19  true
tointqor crlin   50 1.175e+03 2.335e+03 1.9e-04 2.1e+02    6    6   66    5  true
tquartic crlin 5000 2.749e-15 8.100e-01 1.5e-09 1.8e+00   43   33   71   32  true
tridia crlin 5000 2.749e-15 8.100e-01 1.5e-09 1.8e+00   43   33   71   32  true
vardim crlin  200 1.149e+08 3.257e+16 7.3e+09 1.6e+16   13   13   24   12  true
vareigvl crlin   50 1.052e-13 1.126e+02 1.1e-06 4.2e+01    7    7   59    6  true
watson crlin   12 1.602e-07 3.000e+01 4.8e-06 2.1e+02   14   14  112   13  true
woods crlin 4000 7.877e+03 1.919e+07 1.1e-02 5.2e+05   10   10   38    9  true
clplatea crlin 5041 -1.259e-02 0.000e+00 1.1e-06 1.0e-01    8    7  646    6  true
clplateb crlin 5041 -5.095e-03 0.000e+00 3.6e-07 1.2e-02    4    4  411    3  true
clplatec crlin 5041 -5.021e-03 0.000e+00 7.3e-07 9.9e-02    5    5 10961    4  true
chnrosnb_mod crlin  100 1.115e-05 1.764e+04 6.1e-03 6.4e+03  200  112 1195  111  true
errinros_mod crlin  100 7.862e+01 3.140e+05 1.9e-01 1.9e+05   22   18   93   17  true
fletcbv3_mod crlin  100 -8.684e-02 -1.879e-02 2.8e-03 1.6e-03 10001 10001 10001 10000 false
genrose_nash crlin  100 1.000e+00 4.041e+02 8.7e-05 1.3e+02  196  110  790  109  true
scosine crlin  100 -4.591e+01 8.688e+01 9.1e+04 8.1e+02 10225 10001 25764 10000 false
