model algo nvar f(x) f(x0) ‖g(x)‖ ‖g(x0)‖ #f #g #hv #it optimal
dixmaang cglin 3000 1.000e+00 7.607e+04 1.8e-03 3.6e+03   15   13  202   12  true
dixmaanh cglin 3000 1.000e+00 1.517e+05 4.1e-03 7.4e+03   18   13  225   12  true
dixmaani cglin 3000 1.000e+00 2.002e+04 4.5e-05 1.0e+03   11   11 3696   10  true
dixmaanj cglin 3000 1.000e+00 3.900e+04 1.4e-03 1.8e+03   12   12  128   11  true
dixmaank cglin 3000 1.001e+00 7.400e+04 3.3e-03 3.6e+03   12   12   94   11  true
dixmaanl cglin 3000 1.000e+00 1.496e+05 1.9e-03 7.4e+03   13   13  100   12  true
dixmaanm cglin 3000 1.000e+00 9.358e+03 3.0e-04 4.4e+02    9    9 1382    8  true
dixmaann cglin 3000 1.001e+00 2.018e+04 9.8e-04 1.0e+03   17   13  445   12  true
dixmaano cglin 3000 1.000e+00 3.635e+04 1.9e-03 2.0e+03   20   15  395   14  true
dixmaanp cglin 3000 1.000e+00 7.128e+04 1.9e-03 4.0e+03   17   15  326   14  true
dixon3dq cglin 10000 5.207e-10 8.000e+00 6.4e-06 5.7e+00    6    6 21578    5  true
dqdrtic cglin 5000 4.340e-09 9.041e+06 6.6e-04 8.5e+04    5    5   16    4  true
dqrtic cglin 5000 2.888e+09 6.241e+17 6.8e+06 1.3e+13   13   13   56   12  true
edensch cglin 2000 1.200e+04 7.358e+06 8.0e-03 1.0e+05   14   13   46   12  true
  eg2 cglin 5000 5.549e+03 2.949e+05 1.5e-03 8.8e+03    9    9   34    8  true
engval1 cglin 5000 5.549e+03 2.949e+05 1.5e-03 8.8e+03    9    9   34    8  true
errinros cglin   50 4.033e+01 1.102e+05 5.5e-02 1.2e+05   48   26  361   25  true
errinrsm cglin   50 3.855e+01 1.529e+05 5.6e-02 1.3e+05   34   24  280   23  true
extrosnb cglin 1000 8.625e-03 3.996e+05 3.3e-02 3.8e+04   37   26  196   25  true
fletbv3m cglin 5000 -2.492e+05 1.982e+02 2.7e-05 4.4e+01   66   50  119   49  true
fletcbv2 cglin 5000 -5.003e-01 -5.003e-01 1.7e-08 4.4e-06    2    2 9884    1  true
fletcbv3 cglin 5000 -1.302e+09 1.982e+02 3.3e+01 4.4e+01 10001 10001 15043 10000 false
fletchbv cglin 5000 -3.044e+22 -2.302e+11 1.3e+10 2.8e+09 14970 10001 20057 10000 false
fletchcr cglin 1000 4.824e-13 9.990e+02 2.3e-05 6.3e+01 1758 1488 33547 1487  true
fminsrf2 cglin 5625 1.000e+00 2.846e+01 9.7e-09 3.3e-01  465   47 101670   46  true
fminsurf cglin 5625 1.000e+00 2.859e+01 5.3e-08 3.3e-01  349   43 72166   42  true
freuroth cglin 5000 6.082e+05 5.049e+06 4.2e-03 5.5e+04   25   11   53   10  true
genhumps cglin 5000 2.405e-06 1.281e+08 1.2e-03 6.0e+03 5593 4720 18566 4719  true
genrose cglin  500 1.000e+00 1.870e+03 2.3e-04 3.0e+02  829  281 6893  280  true
hilbertb cglin   10 3.437e-14 5.102e+02 8.4e-07 1.1e+02    6    6   12    5  true
indef cglin 5000 -2.322e+09 4.603e+03 3.2e+02 8.0e+01 10348 10001 29124 10000 false
liarwhd cglin 5000 1.626e-04 2.925e+06 2.6e-02 4.8e+05   13   13   36   12  true
mancino cglin  100 1.101e-01 1.103e+12 9.2e+02 2.9e+09    6    6   13    5  true
modbeale cglin 20000 1.299e-03 1.264e+07 7.3e-02 3.1e+05    9    9  106    8  true
morebv cglin 5000 1.053e-11 1.597e-07 1.0e-07 8.0e-04    3    3 5380    2  true
ncb20b cglin 5000 7.351e+03 1.000e+04 2.6e-04 2.8e+02   65   20 1992   19  true
ncb20 cglin 5010 -1.458e+03 1.000e+04 9.4e-06 2.8e+02   76   38  734   37  true
noncvxu2 cglin 5000 1.161e+04 3.235e+11 1.9e+00 3.3e+06 2755  941 8218  940  true
noncvxun cglin 5000 1.163e+04 3.335e+11 7.1e-01 3.6e+06 3127  942 11348  941  true
nondia cglin 5000 2.570e-04 2.000e+06 1.3e-02 2.0e+06    3    3    4    2  true
nondquar cglin 5000 1.301e-03 5.006e+03 1.3e-02 2.0e+04   24   18  196   17  true
osborneb cglin   11 4.014e-02 3.166e+00 1.5e-08 6.5e+00   41   22  293   21  true
oscigrad cglin 100000 1.146e-03 6.121e+08 3.9e+02 2.2e+09   10   10   64    9  true
oscipath cglin   10 9.999e-01 1.000e+00 1.5e-03 1.0e+00 17132 10001 162076 10000 false
parkch cglin   15 1.624e+03 2.150e+03 3.6e-03 2.5e+04   27   22  280   21  true
penalty1 cglin 1000 3.933e+08 1.114e+17 1.1e+07 2.4e+13   13   13   24   12  true
penalty2 cglin  200 4.712e+13 4.712e+13 1.3e+00 1.6e+07   12   12  250   11  true
penalty3 cglin  200 1.011e-03 1.584e+09 7.3e-01 2.2e+06   43   18  118   17  true
powellsg cglin 5000 2.065e-03 2.688e+05 1.3e-02 1.6e+04   13   13   86   12  true
power cglin 10000 4.738e+07 2.501e+15 8.0e+07 1.2e+14   13   13   80   12  true
quartc cglin 5000 2.888e+09 6.241e+17 6.8e+06 1.3e+13   13   13   56   12  true
schmvett cglin 5000 -1.499e+04 -1.429e+04 2.8e-05 7.5e+01    7    7   78    6  true
scurly10 cglin 10000 1.409e+24 7.006e+31 7.2e+23 1.3e+30   13   13  130   12  true
scurly20 cglin 10000 1.847e+25 9.031e+32 9.1e+24 1.6e+31   13   13  124   12  true
scurly30 cglin 10000 1.006e+26 4.163e+33 4.3e+25 7.5e+31   13   13  102   12  true
sensors cglin  100 -2.109e+03 -5.648e+01 1.8e-11 7.1e+01   28   16   49   15  true
sinquad cglin 5000 -6.749e+06 6.561e-01 4.3e-03 5.1e+03   37   16   54   15  true
sparsine cglin 5000 5.750e-03 5.173e+07 1.1e+00 3.0e+06   47   23 3018   22  true
sparsqur cglin 10000 6.964e-02 1.406e+07 6.5e-01 1.2e+06   13   13   64   12  true
spmsrtls cglin 4999 2.706e-10 4.141e+03 1.8e-05 7.7e+01   47   17  981   16  true
srosenbr cglin 5000 1.916e-08 4.850e+04 1.2e-04 1.1e+04    8    8   18    7  true
ssbrybnd cglin 5000 3.273e-06 1.249e+05 1.7e-01 9.0e+05  349   76 35100   75  true
stratec cglin   50 0.000e+00 0.000e+00 0.0e+00 0.0e+00    1    1    0    0  true
testquad cglin 5000 1.768e+00 1.250e+09 1.5e+01 4.4e+07    7    7 1020    6  true
tointgor cglin   50 1.374e+03 5.074e+03 7.5e-05 6.0e+02    8    8  218    7  true
tointgss cglin 5000 1.000e+01 4.499e+04 3.8e-05 4.2e+02    4    4    6    3  true
tointpsp cglin   50 2.256e+02 1.828e+03 1.3e-05 1.1e+02   31   14  182   13  true
tointqor cglin   50 1.175e+03 2.335e+03 1.2e-05 2.1e+02    7    7   86    6  true
tquartic cglin 5000 1.474e-15 8.100e-01 1.1e-09 1.8e+00   30   22   58   21  true
tridia cglin 5000 1.474e-15 8.100e-01 1.1e-09 1.8e+00   30   22   58   21  true
vardim cglin  200 1.149e+08 3.257e+16 7.3e+09 1.6e+16   13   13   24   12  true
vareigvl cglin   50 9.344e-13 1.126e+02 4.7e-06 4.2e+01    8    8   66    7  true
watson cglin   12 1.597e-07 3.000e+01 1.2e-05 2.1e+02   13   13  100   12  true
woods cglin 4000 7.877e+03 1.919e+07 1.8e-01 5.2e+05   10   10   37    9  true
clplatea cglin 5041 -1.259e-02 0.000e+00 3.0e-07 1.0e-01    8    7  773    6  true
clplateb cglin 5041 -5.095e-03 0.000e+00 2.2e-07 1.2e-02    4    4  456    3  true
clplatec cglin 5041 -5.021e-03 0.000e+00 2.7e-08 9.9e-02    5    5 9370    4  true
chnrosnb_mod cglin  100 6.582e-08 1.764e+04 2.3e-03 6.4e+03  213   99 1192   98  true
errinros_mod cglin  100 7.838e+01 3.140e+05 5.8e-02 1.9e+05   41   25  148   24  true
fletcbv3_mod cglin  100 -8.701e-02 -1.879e-02 2.8e-03 1.6e-03 10001 10001 10001 10000 false
genrose_nash cglin  100 1.000e+00 4.041e+02 4.2e-06 1.3e+02  209   71  742   70  true
scosine cglin  100 -8.359e+01 8.688e+01 2.7e+03 8.1e+02 10186 10001 1232544 10000 false
